Gene number,Chromosome,Gene name,Flowering pathway,Protein function,Phenotypic information,Key references,Additional comments
AT5G55835,5,miR156h (micro RNA 156h),Vegetative to reproductive transition,,,,
AT5G57360,5,ZTL (ZEITLUPE),Circadian clock and photoperiod,"E3 ubiquitin ligase, blue lught photoreceptor",Overexpression delays flowering in LDs; mutant slightly late flowering in LDs,"Somers et al., 2000 Cell; Mas et al., 2003 Nature; Kim et al., 2007 Nature; Kiba et al., 2007 Plant Cell; Somers et al., 2007 Plant Cell; Fujiwara et al., 2008 J Biol Chem",
AT5G57380,5,VIN3 (VERNALIZATION INSENSITIVE 3),Vernalization,,Mutants are insensitive to vernalization. ,"Sung and Amasino, 2004 Nature",
AT5G57660,5,COL5 (CONSTANS LIKE 5),Photoperiod,Zinc finger transcription factor,Overexpression promotes flowering in SDs,"Hassidim et al., 2009 Planta",
AT5G59560 ,5,SRR1 (SENSITIVITY TO RED LIGHT REDUCED 1),"photoperiod, circadian clock",nuclear protein,mutant early flowering in LDs and SDs,"Staiger et al., 2003 Genes Dev",
AT5G60100 ,5,PRR3 (PSEUDO-RESPONSE REGULATOR 3),"photoperiod, circadian clock",unknown,overexpressor is late flowering,"Para et al., 2007 Plant Cell; Fujiwara et al., 2008 J Biol Chem",
AT5G60120,5,TOE2 (TARGET OF EAT 2),photoperiod,AP2-domain transcription factor,smz snz toe1 toe2 quadruple mutants are early flowering in LDs,"Mathieu et al., 2009 PLoS Biology",
AT5G60910,5,FUL (FRUITFUL),Floral integrator and flower meristem identity,MADS-box transcription factor,ap1 cal ful triple mutants fail to produce floral meristems,"Melzer et al., 2008 Nat Genetics; Teper-Bamnolker and Samach, 2005 Plant Cell; Ferrándiz et al., 2000 Development",
AT5G61150,5,VIP4 (VERNALIZATION INDEPENDENCE 4),,Component of Paf1c,mutant early flowering,"Zhang and van Nocker, 2002 Plant Journal",mutants show reduced FLC expression
AT5G61380  ,5,PRR1/TOC1,"photoperiod, circadian clock",unknown,mutant early flowering in LD and DD,"Strayer et al., 2000 Science; Alabadi et al., 2001 Science; Sommers et ., 1998 Development",
AT5G61850,5,LFY (LEAFY),Flower meristem identity,Transcription factor,Abnormal flower development,"Lee et al., 2008, Plant Journal; Hamès et al., 2008 EMBO J; William et al., 2004 PNAS; Weigel et al., 1992 Cell",
AT5G62430 ,5,CDF1 (CYCLING DOF FACTOR 1),Photoperiod,DOF transcription factor,cdf1 cdf2 cdf3 cdf5 quadruple mutants flower early in LDs and SDs,"Imaizumi et al., 2005 Science; Fornara et al., 2009 Developmental Cell",
AT5G64813,5,LIP1 (LIGHT INSENSITIVE PERIOD 1),"photoperiod, circadian clock",GTPase,,"Kevei et al., 2007 Current Biology",
AT5G65050 ,5,MAF2 (MADS AFFECTING FLOWERING 2) also called AGL31 (AGAMOUS LIKE 31),,MADS domain transcription factor,,"Ratcliffe et al., 2003 Plant Cell; Ratcliffe et al., 2001 Plant Physiology",
AT5G65060,5,MAF3 (MADS AFFECTING FLOWERING 3) also called AGL70 (AGAMOUS LIKE 70),,MADS domain transcription factor,,"Ratcliffe et al., 2003 Plant Cell; Ratcliffe et al., 2001 Plant Physiology",
AT5G65070,5,MAF4 (MADS AFFECTING FLOWERING 4) also called AGL69 (AGAMOUS LIKE 69),,MADS domain transcription factor,,"Ratcliffe et al., 2003 Plant Cell; Ratcliffe et al., 2001 Plant Physiology",
AT5G65080,5,MAF5 (MADS AFFECTING FLOWERING 5) also called AGL68 (AGAMOUS LIKE 68),,MADS domain transcription factor,,"Ratcliffe et al., 2003 Plant Cell; Ratcliffe et al., 2001 Plant Physiology",
